app abbreviation*for*application
apple a*fruit
ball a*round*object*used*in*sports
bat a*flying*mammal
bat an*implement*used*in*sports
batman a*fictional*superhero
batman black
batwoman a*fictional*superheroine
death Time*of*death
death When*someone*dies
hello A*common*way*of*greeting*people*or*jumpscaring*the*shit*out*of*people.
tatakae i.e.,*usually*used*as*a*slang*for*'fight'*'fighting'
word*goes*here here*be*the*place*where*thee*may*writeth*the*meaning*to*thine*word*seprated*by*one*good*space
